Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,gogle.com,172.217.7.196,US,UNITED STATES,,com,
Character Omission,googe.com,162.243.10.151,,,com,
Character Omission,googl.com,172.217.7.196,US,UNITED STATES,,com,
Character Omission,google.cm,172.217.7.195,US,UNITED STATES,alt3.aspmx.l.google.com,cm,
Character Omission,goole.com,87.106.83.127,DE,GERMANY,mx01.1and1.co.uk,com,
Character Repeat,ggoogle.com,172.217.7.196,US,UNITED STATES,,com,
Character Repeat,googgle.com,,?,,com,
Character Repeat,googlee.com,172.217.7.196,US,UNITED STATES,,com,
Character Repeat,googlle.com,54.221.207.100,US,UNITED STATES,mx94.mb1p.com,com,
Character Repeat,gooogle.com,172.217.7.196,US,UNITED STATES,,com,
Character Swap,gogole.com,172.217.7.196,JP,JAPAN,,com,
Character Swap,googel.com,172.217.7.196,FR,FRANCE,,com,
Character Swap,goolge.com,172.217.7.196,US,UNITED STATES,,com,
Character Swap,ogogle.com,172.217.7.196,US,UNITED STATES,,com,
Character Replacement,foogle.com,64.111.126.107,US,UNITED STATES,alt1.aspmx.l.google.com,com,
Character Replacement,giogle.com,52.71.245.135,US,UNITED STATES,,com,
Character Replacement,goigle.com,5.79.68.107,NL,NETHERLANDS,,com,
Character Replacement,goofle.com,192.185.39.34,,mail.goofle.com,com,
Character Replacement,googke.com,,?,,com,
Character Replacement,googlr.com,172.217.7.196,US,UNITED STATES,,com,
Character Replacement,googlw.com,,?,mx.googlw.com.cust.a.hostedemail.com,com,
Character Replacement,goohle.com,184.154.126.179,US,UNITED STATES,,com,
Character Replacement,gopgle.com,69.162.80.59,US,UNITED STATES,,com,
Character Replacement,gpogle.com,5.79.68.108,NL,NETHERLANDS,,com,
Character Replacement,hoogle.com,107.180.25.196,,mailstore1.secureserver.net,com,
Double Character Replacement,giigle.com,104.237.196.115,,mail.h-email.net,com,
Double Character Replacement,gppgle.com,172.217.7.196,US,UNITED STATES,,com,
Character Insertion,gfoogle.com,,?,,com,
Character Insertion,ghoogle.com,,?,,com,
Character Insertion,goiogle.com,,?,,com,
Character Insertion,googfle.com,184.168.221.9,US,UNITED STATES,,com,
Character Insertion,googhle.com,172.98.192.37,,,com,
Character Insertion,googler.com,,?,,com,
Character Insertion,googlew.com,98.124.199.73,CN,CHINA,,com,
Character Insertion,googlke.com,98.124.199.15,US,UNITED STATES,,com,
Character Insertion,gooigle.com,,?,,com,
Character Insertion,goopgle.com,69.162.80.51,US,UNITED STATES,,com,
Character Insertion,gopogle.com,98.124.199.3,US,UNITED STATES,,com,
Missing Dot,googlecom.com,172.217.7.196,US,UNITED STATES,,com,
Missing Dot,wwwgoogle.com,172.217.7.196,US,UNITED STATES,,com,
Singular or Pluralise,googles.com,23.229.234.162,,,com,
Vowel Swap,googla.com,,?,,com,
Vowel Swap,googli.com,119.9.72.134,HK,HONG KONG,,com,
Vowel Swap,googlo.com,172.98.192.35,,,com,
Vowel Swap,googlu.com,,?,,com,
Bit Flipping,coogle.com,,?,,com,
Bit Flipping,eoogle.com,,?,,com,
Bit Flipping,ggogle.com,,?,,com,
Bit Flipping,gkogle.com,,?,,com,
Bit Flipping,gmogle.com,,?,,com,
Bit Flipping,gnogle.com,,?,,com,
Bit Flipping,goggle.com,162.242.150.89,,,com,
Bit Flipping,gokgle.com,,?,,com,
Bit Flipping,gomgle.com,,?,,com,
Bit Flipping,gongle.com,,?,,com,
Bit Flipping,goocle.com,,?,,com,
Bit Flipping,gooele.com,,?,,com,
Bit Flipping,googde.com,,?,,com,
Bit Flipping,googhe.com,199.59.242.150,CN,CHINA,mx76.mb1p.com,com,
Bit Flipping,googld.com,,?,,com,
Bit Flipping,googlg.com,,?,,com,
Bit Flipping,googlm.com,117.25.129.27,CN,CHINA,,com,
Bit Flipping,googme.com,199.59.242.150,CN,CHINA,mx76.mb1p.com,com,
Bit Flipping,googne.com,,?,,com,
Bit Flipping,gooole.com,98.124.199.61,US,UNITED STATES,,com,
Bit Flipping,goowle.com,104.200.23.95,,mail.mxproc.com,com,
Bit Flipping,ooogle.com,,?,,com,
Bit Flipping,woogle.com,98.124.199.11,US,UNITED STATES,,com,
Homoglyphs,g00gle.com,,?,,com,
Homoglyphs,g0ogle.com,98.124.199.83,US,UNITED STATES,,com,
Homoglyphs,go0gle.com,,?,,com,
Homoglyphs,goog1e.com,,?,,com,
Wrong TLD,google.ca,172.217.15.67,US,UNITED STATES,alt3.aspmx.l.google.com,ca,
Wrong TLD,google.ch,172.217.15.67,US,UNITED STATES,alt1.aspmx.l.google.com,ch,
Wrong TLD,google.de,172.217.15.67,US,UNITED STATES,alt1.aspmx.l.google.com,de,
Wrong TLD,google.edu,,?,,edu,
Wrong TLD,google.es,172.217.15.67,US,UNITED STATES,alt3.aspmx.l.google.com,es,
Wrong TLD,google.fr,172.217.15.67,¬Ú,,alt4.aspmx.l.google.com,fr,
Wrong TLD,google.it,172.217.7.195,US,UNITED STATES,alt2.aspmx.l.google.com,it,
Wrong TLD,google.jp,172.217.15.67,US,UNITED STATES,alt2.aspmx.l.google.com,jp,
